string_length,trial_1,trial_2,trial_3,period_ave,error
0.18,7.41,7.44,7.47,0.744,0.01732050808
0.24,8.63,8.67,8.7,0.8666666667,0.0202758751
0.31,9.86,10.04,9.98,0.996,0.05291502622
0.38,11.16,11.04,10.96,1.105333333,0.05811865258
0.46,11.65,11.77,11.73,1.171666667,0.03527668415
0.51,12.76,12.76,12.9,1.280666667,0.04666666667
0.58,13.47,13.72,13.65,1.361333333,0.07446102635
