string_length,trial_1,trial_2,trial_3,period_ave,error
0.18,8.52,8.47,8.42,0.847,0.02886751346
0.24,9.66,9.8,9.63,0.9696666667,0.05238744549
0.31,11.06,11.07,11.16,1.109666667,0.03179797338
0.38,12.22,12.24,12.25,1.223666667,0.008819171037
0.46,13.28,13.42,13.37,1.335666667,0.04096068576
0.51,14.24,14.4,14.39,1.434333333,0.05174724899
0.58,15.13,15.2,15.18,1.517,0.02081665999
