string_length,trial_1,trial_2,trial_3,period_ave,error
0.34,1.57,1.58,1.61,1.586666667,0.01201850425
0.28,1.28,1.34,1.33,1.316666667,0.01855921454
0.22,1.09,1.05,1.02,1.053333333,0.0202758751
0.19,0.9,0.92,0.96,0.9266666667,0.01763834207
0.16,0.73,0.81,0.81,0.7833333333,0.02666666667
