string_length,trial_1,trial_2,trial_3,period_ave,error
0.215,8.46,8.59,8.46,0.8503333333,0.04333333333
0.33,10.5,10.62,10.61,1.057666667,0.03844187532
0.44,12.64,12.78,12.84,1.275333333,0.05925462945
0.535,14.49,14.37,14.42,1.442666667,0.0348010217
0.67,17.08,17.03,16.78,1.696333333,0.09279607271
